package_id,package_name,package_front_description,package_image_description,segmentation_type_id,faq,subcategory_id
515,"Roots: Touch-up color ","Coverage of up to 4 inches of grey hair with the chosen shade.",[],11164,"{"When will the professionals be assigned for the service?" : A professional will be assigned 60 minutes prior to the service if the booking is made at least 2 hours prior to the service.",24
516,"L'Oreal 10 signature highlights","Precise application of chosen shades on closely spaded sections of hair",[],11164,"{"When will the professionals be assigned for the service?" : A professional will be assigned 60 minutes prior to the service if the booking is made at least 2 hours prior to the service.",24
517,"Pinda sweda","Potli detox therapy",[],11165,"{"Do I need to provide any equipment?" : The professional will bring all the equipment.",25
518,"Bhringadi head massage","Medium pressure, pressure-point focused head massage",[],11165,"{"Do I need to provide any equipment?" : The professional will bring all the equipment.",25
519,"Paada Abhyanga","Relaxing foot massage",[],11166,"{"Do I need to provide any equipment?" : The professional will bring all the equipment.",25
520,"Warm potli","22 herb infused warm potli massage for relieving chronic muscle & joint pain",[],11167,"{"Do I need to provide any equipment?" : The professional will bring all the equipment.",25
521,"Vedic signature","Full body pain relief massage",[],11168,"{"Do I need to provide any equipment?" : The professional will bring all the equipment.",25
522,Abhyangam,"Neck to toe stress relief massage",[],11167,"{"Do I need to provide any equipment?" : The professional will bring all the equipment.",25
523,"Glovite lightening facial","Cheryl glovite is now Sara by O3 glow light",[],11169,"{"Do I need to provide any equipment?" : The professional will bring all the equipment.",26
524,"O3+ shine and glow facial","Vitamin B-5 & jojoba oil reduce pigmentation & brighten the skin",[],11169,"{"Do I need to provide any equipment?" : The professional will bring all the equipment.",26
